"title","content","date","variant","images","verified","author","rating","product","url"
"but it works fine. The jaws grip strongly enough to offer a ...","I was concerned it would be over simple, with no head tilt/adjustment, but it works fine. The jaws grip strongly enough to offer a useful modest degree of directional adjustment (Not much though. Likely depends on your car vent situation), and the jaws hold my iPhone 7+, along with its leather flip screen case, with ease, including down bumpy roads/active driving. The magnet is also strong, likewise holding the same phone firmly, and including through the same leather case back that is at least a few mm thick (another car holder model I tried could not even vaguely manage this). The non-scratch rubber looking head is also phone/case friendly. A good quality simple product.","11 Nov 2017","Colour Name: Black","","Yes","J Rodgers","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Doesn't work with case, doesn't come off your phone!","Didn't work with my phone case so had to use directly on the phone. Even then it would slip out of the car vent and onto the floor which posed a hazard when driving. Also I've recently tried to remove it from the back of my phone and it won't come off, damaging my phone.","17 Apr 2019","Colour Name: Black","","Yes","Fab1","1.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great product","Great product.  Much cheaper in price than you see in phone shops.  With the new law on phone usage in cars without bluetooth in the UK, definitely something everyone should buy.  Instant 3 month loss of licence if you are caught using your phone without bluetooth connectivity.  Not to mention it is a no brainer NOT to use your phone while driving!","28 Jul 2018","Colour Name: Black","","Yes","Lynn","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Failed & no response from supplier.","These have been great until now since I received them in March 17. I have had 1 fail & when my phone dropped it cracked the screen. I wrote to the supplier nearly a week ago including photos to explain & still no response. Would not recommend due to the issues I have experienced.","06 Oct 2017","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/719z9G4nLxL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71TCIowaRaL._SY88.jpg","Yes","Scott Priddey","1.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Good bit of kit","This surprised me. I expected some Chinese tat, but I received a nicely made product, in a very smart box, with a user manual in good English. The gadget works very well. I takes about 3 seconds to install on the air vent and in use it is stable and neat. It holds my phone (Moto G6) well and the magnet is very powerful so there's no danger of the phone falling off, even on rough roads. It is also easily transferable from one vehicle to another, although at the price £5.99) you might as well just buy another really. I didn't even need to stick the metal plate to anything - I just took the (gel) case off my phone, slipped the disc inside without removing the backing paper, and put the case back on. The case is a tight fit and holds the metal disc in place nicely. And the magnet is strong enough to work well even with the metal disc inside the (thin) case. This means I have *two* spare metal discs now, complete with adhesive should I need them in the future. Overall, a great product and a neat, practical solution to mounting my phone in my car. Recommended.","08 Jun 2019","Colour Name: Black","","Yes","Bring It On Lenny","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Works really well!","I wasn't entirely convinced that this would work until I tried it out! The magnet stuck to the back of your phone is hidden if you have a case and the neat vent fitting is completely unobtrusive. I drive on some reasonably interesting roads with potholes and although my phone has slipped or slightly turned, it hasn't fallen from the magnetic mount. I mainly use my phone to listen to podcasts and got fed up with leaving it in the cupholder or having it slide around the passenger footwell. This is a much cleaner solution to fixing a phone to your dash or windscreen, I would definitely recommend this product to people who want to have their phone somewhere handy!","30 Jan 2018","Colour Name: Black","","Yes","S. Page","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Not amazing but I’m using it anyway","To tide me over until I can afford a new CarPlay stereo unit in my car, I decided to get a Bluetooth receiver and a phone holder so I can use my phone to the same effect. I didn’t want to get one that stuck on the dash, because there’s not really many great places to put it, and it can be a PITA to take off without leaving marks behind. I also wanted something that could magnetically hold my phone, since my phone case already had one from an old phone holder, and they’re a million times better than other phone holders in my opinion. That being said, the magnetic grip that this holder has on your phone is stronger than the grip it has on the car itself! If you try to pull it straight off, the holder will come off with the phone! So now I’ve got to peel it off sideways, and even then it feels like it’s going to come off again. The grip this thing has on the car is absolutely naff. I’m also not 100% confident that this won’t just fly off mid-drive! I have it on my right hand side next to the window, and whenever I open the window I feel like it’s just going to fly out at one point. But what can I say, I have a Ford Focus ST so I guess I like to live dangerously. Overall, I don’t recommend this. Get something else.","01 Sep 2020","Colour Name: Black","","Yes","Arron","3.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Great phone mounting solution for your car..","Bought this as I wanted the ability to use my phone as a sat nav device and for it to be in position that is easy to connect to my aux cable to play music. You get a magnetic sticker that you stick to the back of your phone and a 'plug' mount holder that you attach to the air vent of your car (as shown in the pictures). The magnet on the back of the phone sticks to the front of the mount and voila! I like this method as it give you some flexibility in terms of  being able to manoeuvre your phone to your desired position and also a product that doesn't rely on sticking to your dashboard but being easy to insert and remove when required.  The magnet system is nice and strong and I have never had any issues with my phone sliding or slipping off the mount. One thing I wish I had done is stick the magnet to the back of my phone case rather then my phone as once you stick in on its really, really hard to get off. Another VERY important point to remember is to turn the vent off in your car when you have your phone attached as you'll either end up freezing it or frying it if you have it blasting out hot or cold air. This is a fantastic product that justifies it high ratings and at that price its a bargain. Would recommend.","27 May 2019","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/21zY9pIWgDL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/718vLHHqQzL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71cawGBeVnL._SY88.jpg","Yes","Diiox","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Best Phone Mount","I really love this phone mount, I bought one a few years ago to use with my old phone, however I've just started using it again with my new phone. I forgot how good it was. One bit of advice is make sure you stick the little magnet thingy on a case not directly on your phone, the bloody thing won't come off haha. Another thing is make sure your vents in the car are reasonably stiff, so if you stick this on them they won't just move around when the car is moving. I bought another one of these mounts recently for my girlfriend however the vents in her A1 don't hold it properly and it falls out all the time. One thing I love about this is that even though the magnet you put on your phone is really thin, the force it holds the phone is unbelievable! Honestly I could do my most wildest driving and my phone would still be sat there in the centre of my dash.","14 Jun 2019","Colour Name: Black","","Yes","Mr. Jack P. Scudamore","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"UPDATE: Yosh CS easily replace and have updated their product to be more secure","UPDATE: Can't fault their customer service really, they have upgraded their product and messaged to let me know if I would like a free one even though mine was working fine. Amazing. Broke after 4 months use with my iPhone 6 Plus. Circular front started getting loose where you can easily spin it presumably because the front is split into 2 parts. Yosh CS sent a replacement but not sure if it will last or I will trust to use it. EDIT: Broke again!!! I think they shouldn't advertise the holder as suitable for iPhone 6 Plus as the parts obviously cannot handle the weight of the phone and it starts getting loose.","21 Apr 2017","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/614-K0tVV1L._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/71AEo1FjnmL._SY88.jpg","Yes","Amazon Customer","4.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"A must have if you use sat nav apps","I was hesitant to purchase a phone holder that slotted into the vents of my car's air conditioning. Mainly because in the winter when set to hot I felt my phone would overheat. However, I've now had to purchase this as the windscreen arm mount I purchased previously has now lost any kind of suction and has become completely unusable. I've only used this in the summer so far with the air conditioning set to cold, so I can't comment on whether the phone overheats or not. Assembly is easy, you simply attach the magnet with the sticky tape provided to your phone case and place the magnetic holder into your car's air conditioning vents. The phone sits securely and I've yet to have any issues with it falling or becoming displaced. The drawback to this over a windscreen arm mount is the fact that you are unable to swivel the screen to face you and that you have to take your eyes off of the road a little bit more by looking down. It's not a major drawback but I feel it's something worth noting. All in all it does the job and is a must have for anybody that uses sat nav apps on their phone. 5 stars. *Please let me know if you found this review helpful*","13 Oct 2019","Colour Name: Black","https://images-na.ssl-images-amazon.com/images/I/71PU5n4LHaL._SY88.jpg","Yes","W B 🌍","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Doesn’t work on IPhone 11","Sadly it’s unable to maintain my IPhone 11 attached to it. Magnet is not powerful enough. Sorry but you’ll need to look elsewhere unless you like fishing your phone out of the footwell every few minutes.","20 Jan 2020","Colour Name: Black","","Yes","rob from essex","1.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Magnet is too strong for adhesive","I had no problems with my phone staying attached to the dashboard as reported by some others - the magnet is very strong indeed - but I did have a problem with the magnetic disk itself not remaining stuck to my phone - two are supplied, and both lasted less than 5 days before peeling off the phone. This happened when I pulled the phone off the dash-mounted holder, the magnet overpowered the adhestive. Nice idea, but I ended up returning the product and will be getting a cradle instead.","19 Dec 2018","Colour Name: Black","","Yes","C. Smith","1.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Arrived on time","Easy to set up and install. The magnet is very strong. Make sure you clean any grease or debris off your phone before putting the disk magnet on the back. My phone is shattered on the back; I used one of the 2 clear plastic sticky disks that is included in the pack (which I assume are included to protect your phone if you don't want to stick the magnet directly to it). Unfortunately, this kept falling off due to the nature of the state of my phone - but am certain that it would have definitely have worked had it not been for this. So, that was one magnet and one plastic disk wasted (don't make the mistake and put it on an unclean surface like I did). The rubber 'holder' is really easy to install - simply press into your air vent blades until it clicks or sticks into place - if I can do it - anyone can. It's still there not budged. My phone is really secure - going fast, over speed bumps, around roundabouts - in fact all driving conditions hasn't made one bit of difference to how securely its held my phone in place. I get fed up of those contraptions that hold your phone like in a vice-type grip as I find them cumbersome. This is perfect - just clip and go. Grab at the other end - no fiddling. It also means that as it's attached to the air vents, it does not obscure your full view of the windscreen and is discreetly attached and contained out of sight. No sucker marks on the windscreen, no advertising your phone in full view. I really like this product and am pleased with my purchase. Well worth the money paid, and no searching for my phone in my bag anymore - I put it on the holder as soon as I get in my car - and at a side glance - know who is calling and if I need to pull over to take the call or not. Would recommend to my friends and family knowing it works and won't break the bank either.","26 Dec 2019","Colour Name: Black","","Yes","AEC","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"One of the most straight forward and useful devices I have ever ordered from Amazon","One of the most straight forward and useful devices I have ever ordered from Amazon.  Fits into the air vent in seconds and grips tight.  Can be removed and repositioned in seconds.  I've fitted the magnets onto the case and wireless charging works perfectly (just be sure to test the position of  the metal plates before sticking them down).  Using mine with a Samsung S7 Edge and Spine case.","10 May 2018","Colour Name: Black","","Yes","Gordon Fowler","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"A lot better than I thought","Just got a new car and I didn't want some huge bracket that sucks onto the window or something.  I thought I'd give this a shot as I've never tried one of these before.  I've been very pleasantly surprised having had this for a few weeks now and done a few decent enough drives to test it.  When I first got it, I stuck the disc to the inside of the rugged case for my Google Pixel phone.  Even with the thickness of the case, it still stays put when driving.  I've now got a new case and, as there was a spare disc, I put this on the outside of the case so it sticks to the holder even more securely.  I've probably done a few hundred miles on different roads and it hasn't fallen off once.  I have mine right at the very top slat on the vent.  The vents on my car are long and narrow so not ideal.  Having it at the top means that half the vent is still directing air towards me rather than straight at the back of the phone.  That's probably the only downside to this type of holder.  Depending on your car, you're effectively losing the output from one vent. All in all, I'm glad I got this.  It's definitely neat and it definitely holds my phone securely in a place where I can see it.  Can't really ask for more than that!","04 Sep 2020","Colour Name: Black","","Yes","Andy Jacobs","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
"Works like a charm","I have been looking for a phone holder that actually does what it's supposed to do for so long. I've bought several holders, some of them did not stick to any internal part of my car, others did not hold the weight of the phone, nor provide a good viewing angle. The Yosh magnetic holder is a genius bit of kit. No bulky plastic arms or fiddly components. This is simple: slide-on a small magnetic holder to a ventilation grille, attach the disc to the back of the phone or case, and you're good to go. I love that you can rotate the phone 360 degrees, and you need only the one hand to remove the phone from the holder. You are supplied with 2 discs. This is a robust and well-manufactured product. It's pocket- and wallet- friendly, and made mostly from rubber, an almost everlasting material. Using four magnets in the holder, 2 North, 2 South, double the strength. When you put the phone on the holder, it just clicks into place, and likewise it just comes off with ease without needing to tug or yank. And importantly, the phone doesn't wobble or move at all while driving. I love using it. It satisfies me deeply, and it has fulfilled a need I had. 5 out of of 5, 10 out of 10, 100%.","26 Jun 2020","Colour Name: Black","","Yes","Drew T","5.0","YOSH Car Phone Mount Holder Magnetic Air Vent in car Mobile Phone Cradle Magnet for iPhone 12 11 Pro Max XR XS Max X 8 7 6s Plus Samsung S20 S10+ A70 S10 Huawei P30 P20 Pro Xperia Xiaomi Oneplus etc.","https://www.amazon.co.uk/product-reviews/B01JG7ZMIW/ref=cm_cr_othr_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
"
